epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1110.17,1.89264,2.57866,1.61122,0.48484,0.45306,0.40887,0.12796,2.09817,2.18165,1.72997,0.000553175,0.000553175,0.000553175
2,1200.03,1.7448,1.89116,1.51748,0.41608,0.56521,0.42248,0.14655,2.20953,1.944,1.95049,0.000999066,0.000999066,0.000999066
3,1287.25,1.73025,1.69699,1.5174,0.50258,0.51087,0.463,0.15316,2.23233,1.76453,1.85902,0.00133494,0.00133494,0.00133494
4,1376.82,1.70248,1.56967,1.48785,0.52699,0.55068,0.51055,0.20901,2.00919,1.67288,1.69481,0.0011719,0.0011719,0.0011719
5,1467.11,1.64972,1.43976,1.458,0.67825,0.63846,0.65548,0.25781,2.0121,1.37087,1.70229,0.00100687,0.00100687,0.00100687
6,1556.42,1.60854,1.33091,1.43173,0.71528,0.65745,0.71013,0.31716,1.86778,1.2165,1.5709,0.000841835,0.000841835,0.000841835
7,1640.42,1.56264,1.24142,1.40478,0.61838,0.61196,0.64904,0.26882,1.9668,1.32793,1.60202,0.000676802,0.000676802,0.000676802
8,1728.42,1.52949,1.16653,1.37636,0.66534,0.72609,0.71483,0.28581,2.05948,1.17842,1.66397,0.000511769,0.000511769,0.000511769
9,1817.18,1.47704,1.096,1.34781,0.75564,0.69481,0.75025,0.33275,1.84065,1.1421,1.52881,0.000346736,0.000346736,0.000346736
10,1902.8,1.43623,1.02077,1.31418,0.74101,0.72495,0.79213,0.32737,1.95809,1.09674,1.59955,0.000181703,0.000181703,0.000181703
